EventDate,IngestedAt,EventID,EventName,EventType,Format,Season,LoginID,Name,Placement,PointsAwarded
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,3085636,GigaChadSigmaMale,17,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2714224,eclipse4343,18,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,181637,Boin,19,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2683189,Ale_Mtg,20,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2042214,Selfeisek,21,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,1130054,MattTumavitch13,22,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2139100,Manny-,23,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,3311205,golfsapao,24,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,319589,FranBenitez91,25,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,494936,levunga21,26,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2669359,HouseOfManaMTG,27,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2714690,SpecterTurtle,28,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2788809,Chichichi,29,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2926088,Univerce,30,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,2464763,Savior0117,31,0
2026-09-02,2026-09-04T06:16:12Z,12853730,Modern Challenge 32,challenge,modern,Autumn 2026,750628,i_b_TRUE,32,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,923582,Varo,1,5
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2454058,scipios,2,4
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,1018764,OafMcNamara,3,3
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2788809,Chichichi,4,3
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2126126,KingCapivara,5,2
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3222070,Lightspirit,6,2
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2122697,kthanakit26,7,2
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,1555238,cnoz,8,2
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3263693,MeninooNey,9,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,254536,rastaf,10,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3076886,Thunus,11,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3412574,Habitante_do_Escuro,12,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,676549,Alakai,13,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2045661,Nangurus,14,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2607787,TomBombadi1,15,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3158693,AzureMoon,16,1
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2749655,WadeB,17,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3178392,GzusReturned,18,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3183766,yeojlil,19,0
